show_id,title,listed_in,description,movie_info
s855,Best Worst Thing That Ever Could Have Happened,Documentaries,"The cast and crew of the 1981 Broadway musical ""Merrily We Roll Along"" recall joy and heartbreak during the production of a surefire hit that wasn't.","best worst thing ever could happened documentaries cast crew 1981 broadway musical ""merrily roll along"" recall joy heartbreak production surefire hit wasn't."
s856,Best.Worst.Weekend.Ever.,"Kids' TV, TV Comedies","Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another.","best.worst.weekend.ever. kids' tv, tv comedies teenage friend plan epic trip comic-con meet idol, get caught one hilariously awkward predicament another."
s857,Betaal,"International TV Shows, TV Action & Adventure, TV Horror","Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies.","betaal international tv shows, tv action adventure, tv horror hired displace tribal villager make way new highway, official unearth old curse army british soldier-zombies."
s858,Bethany Hamilton: Unstoppable,"Children & Family Movies, Documentaries, Sports Movies",This documentary follows the rising tide of Bethany Hamilton who lost her arm as a teen before making waves in pro surfing and her personal life.,"bethany hamilton: unstoppable children family movies, documentaries, sports movies documentary follows rising tide bethany hamilton lost arm teen making wave pro surfing personal life."
s859,Better Call Saul,"Crime TV Shows, TV Comedies, TV Dramas","This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman.","better call saul crime tv shows, tv comedies, tv dramas emmy-nominated prequel ""breaking bad"" follows small-time attorney jimmy mcgill transforms morally challenged lawyer saul goodman."
s860,Better Than Us,"Crime TV Shows, International TV Shows, TV Dramas","A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists.","better us crime tv shows, international tv shows, tv dramas family brink splitting become owner cutting-edge robot sought corporation, homicide investigator terrorists."
s861,Betting on Zero,Documentaries,"This documentary dives into the complex world of Herbalife, the international nutritional products company accused of being a pyramid scheme.","betting zero documentaries documentary dive complex world herbalife, international nutritional product company accused pyramid scheme."
s862,Betty White: First Lady of Television,Documentaries,This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.,betty white: first lady television documentaries documentary actress television producer betty white trace decades-long career woman breaking new ground entertainment.
s863,Between,"International TV Shows, TV Dramas, TV Mysteries","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them.","international tv shows, tv dramas, tv mysteries mysterious disease kill every resident 22 year old, survivor town must fend government quarantine them."
s864,Between Maybes,"Dramas, International Movies, Romantic Movies","A former actress takes a trip to Japan, where she meets a young man who provides an escape from reality and makes her consider a different way of life.","maybes dramas, international movies, romantic movies former actress take trip japan, meet young man provides escape reality make consider different way life."
s865,Between Two Ferns: The Movie,Comedies,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.","two ferns: movie comedies armed awkward question zero self-awareness, zach galifianakis hit road find famous interview subject no-budget talk show."
s866,Between Worlds,Thrillers,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone.","worlds thrillers grieving dead wife daughter, trucker plunge romance mother need help. dead, however, far gone."
s867,Bewafaa,"Dramas, International Movies, Romantic Movies","A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else.","bewafaa dramas, international movies, romantic movies young woman face pressure marry brother-in-law, sister dy giving birth. secretly love someone else."
s868,Bewildered Bolbol,"Comedies, International Movies, Romantic Movies",A man suffering from amnesia can't seem to choose between the women playing tricks on him.,"bewildered bolbol comedies, international movies, romantic movies man suffering amnesia can't seem choose woman playing trick him."
s869,Beyblade Burst,"Anime Series, Kids' TV","Middle schooler Valt Aoi, with his Beyblade Valtryek, faces off against friends, classmates and rivals to become the world's number one Blader.","beyblade burst anime series, kids' tv middle schooler valt aoi, beyblade valtryek, face friends, classmate rival become world's number one blader."
s870,Beyblade Burst Evolution,"Anime Series, Kids' TV","Scouted by a famous Spanish club, Valt Aoi heads to Spain. With their sights on the World League, he and his teammates face the European League first.","beyblade burst evolution anime series, kids' tv scouted famous spanish club, valt aoi head spain. sight world league, teammate face european league first."
s871,Beyblade Burst Rise,"Anime Series, Kids' TV","After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace.","beyblade burst rise anime series, kids' tv training legendary valt aoi, dante trusty ace dragon lead next generation bladers battle japan — beyblade's birthplace."
s872,Beyblade Burst Turbo,"Anime Series, Kids' TV","Yearning to earn the title of world blading champion, a novice competitor must harness his untamed potential through training and tournaments.","beyblade burst turbo anime series, kids' tv yearning earn title world blading champion, novice competitor must harness untamed potential training tournaments."
s873,Beyblade: Metal Fusion,"Anime Series, Kids' TV","In this anime adventure series for kids, the forces of good and evil ""blade it out,"" battling each other with enchanted spinning tops.","beyblade: metal fusion anime series, kids' tv anime adventure series kids, force good evil ""blade out,"" battling enchanted spinning tops."
s874,Beynelmilel,"Comedies, Dramas, International Movies","When a local musician and his band are forced to perform in honor of a right-wing coup, his daughter schemes to make their music subversive instead.","beynelmilel comedies, dramas, international movies local musician band forced perform honor right-wing coup, daughter scheme make music subversive instead."
s875,Beyond All Boundaries,"Documentaries, International Movies, Sports Movies","As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport.","beyond boundaries documentaries, international movies, sports movies 2011 cricket world cup begins, three indians demonstrate passion sacrifice they've made country's popular sport."
s876,Beyond Skyline,"Action & Adventure, Sci-Fi & Fantasy","In the wake of an extraterrestrial invasion, a suspended L.A. cop teams up with survivors to stop the onslaught and rescue human captives.","beyond skyline action adventure, sci-fi fantasy wake extraterrestrial invasion, suspended l.a. cop team survivor stop onslaught rescue human captives."
s877,Beyond Stranger Things,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy","Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!","beyond stranger things stand-up comedy talk shows, tv mysteries, tv sci-fi fantasy secrets ""stranger things 2"" universe revealed cast guest discus latest episode host jim rash. caution: spoiler ahead!"
s878,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,"Documentaries, International Movies, Sports Movies","With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket — the ICC Women's T20 World Cup.","beyond boundary: icc women's t20 world cup australia 2020 documentaries, international movies, sports movies highlight 2020 tourney, program offer inside look global showcase women's cricket — icc women's t20 world cup."
s879,Beyond the Clouds,"Dramas, Independent Movies, International Movies",A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.,"beyond clouds dramas, independent movies, international movies youthful drug dealer mumbai must change way sister raised assaulted bos imprisoned defending herself."
s880,Bh Se Bhade,"International TV Shows, TV Comedies","A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.","bh se bhade international tv shows, tv comedies kind-hearted insurance agent mysterious power temporarily shoulder problem pain others, comic result life."
s881,Bhaag Beanie Bhaag,"International TV Shows, Romantic TV Shows, TV Comedies","Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up.","bhaag beanie bhaag international tv shows, romantic tv shows, tv comedies facing disapproving parents, knotty love life inner critic, aspiring comic ditch cushy unsatisfying life pursue stand-up."
s882,Bhaage Re Mann,"International TV Shows, Romantic TV Shows, TV Dramas","An impulsive, free-spirited woman who's defied convention for much of her life suddenly finds herself flirting with a classic romance.","bhaage mann international tv shows, romantic tv shows, tv dramas impulsive, free-spirited woman who's defied convention much life suddenly find flirting classic romance."
s883,Bhagam Bhag,"Comedies, International Movies, Romantic Movies","A theater group lands in trouble when its new actress takes her own life, two of its members are framed for murder and no one is who they appear to be.","bhagam bhag comedies, international movies, romantic movies theater group land trouble new actress take life, two member framed murder one appear be."
s884,Bhai: Vyakti Ki Valli - Poorvardha,"Dramas, International Movies",This first of a two-part biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian P.L. Deshpande’s iconic career.,"bhai: vyakti ki valli poorvardha dramas, international movies first two-part biopic depicts early year lay foundation beloved marathi writer comedian p.l. deshpande’s iconic career."
s885,Bhai: Vyakti Ki Valli - Uttarardh,"Dramas, International Movies","The second installment of P.L. Deshpande’s biopic explores the Marathi humorist’s political journey, philanthropic endeavors and personal life.","bhai: vyakti ki valli uttarardh dramas, international movies second installment p.l. deshpande’s biopic explores marathi humorist’s political journey, philanthropic endeavor personal life."
s886,Bhaji In Problem,"Comedies, International Movies",Married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.,"bhaji problem comedies, international movies married two woman – unaware – man find double life threatened old friend know not-so-little secret arrives."
s887,Bhangra Paa Le,"Comedies, Dramas, International Movies","Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own.","bhangra paa le comedies, dramas, international movies determined bring traditional bhangra world stage, dancer prep international competition rival dream own."
s888,Bhasmasur,"Dramas, Independent Movies, International Movies","In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey.","bhasmasur dramas, independent movies, international movies heart-wrenching coming-of-age story, young boy embarks arduous trek debt-ridden father sell beloved family donkey."
s889,Bhavesh Joshi Superhero,"Dramas, International Movies, Sci-Fi & Fantasy","When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice.","bhavesh joshi superhero dramas, international movies, sci-fi fantasy best friend killed uncovering political corruption, idealistic young man decides become masked fighter justice."
s890,Bheemayan,Children & Family Movies,"It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights.","bheemayan children family movies diwali! celebrate, chhota bheem friend put stage show ramayana, re-enacting epic story behind festival lights."
s891,Bheeshma,"Action & Adventure, Comedies, International Movies","Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.","bheeshma action adventure, comedies, international movies tired single, smart-aleck meme creator chance prove girl love suddenly appointed ceo workplace."
s892,Bhool Bhulaiyaa,"Dramas, International Movies, Thrillers","Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs.","bhool bhulaiyaa dramas, international movies, thrillers siddharth dismisses warning palace might haunted, ghostly occurrence force reconsider beliefs."
s893,Bhoot,"Horror Movies, International Movies, Thrillers","After a couple moves into an apartment, the wife’s increasingly disturbing behavior unravels chilling secrets about their new home’s past.","bhoot horror movies, international movies, thrillers couple move apartment, wife’s increasingly disturbing behavior unravels chilling secret new home’s past."
s894,Bhouri,"Dramas, Independent Movies, International Movies",A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.,"bhouri dramas, independent movies, international movies 23-year-old girl who's married man twice age forced contend predatory nature male-dominated society."
s895,Bibi & Tina,"Children & Family Movies, Music & Musicals",Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal.,"bibi tina children family movies, music musicals teen witch bibi horse-loving tina face trouble posh girl flirt tina's boyfriend crook set greedy eye promising foal."
s896,Bibi & Tina II,"Children & Family Movies, Music & Musicals","When robbers hit Falkenstein castle, teen witch Bibi and pal Tina hunt for the crooks, then devise a plan to save the neighbors' failing ranch.","bibi tina ii children family movies, music musicals robber hit falkenstein castle, teen witch bibi pal tina hunt crooks, devise plan save neighbors' failing ranch."
s897,Bibi & Tina: Girls Versus Boys,"Children & Family Movies, Music & Musicals","At summer camp, young Bibi and her friends are pitted against the boys in a treasure hunt. But what's a witch to do when she loses her powers?","bibi tina: girls versus boys children family movies, music musicals summer camp, young bibi friend pitted boy treasure hunt. what's witch loses powers?"
s898,Bibi & Tina: Tohuwabohu Total,"Children & Family Movies, Music & Musicals",Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.,"bibi tina: tohuwabohu total children family movies, music musicals teen witch bibi pal tina return screen reconcile runaway girl narrow-minded family save falkenstein castle chaos."
s899,Bibik-Bibikku,"International TV Shows, TV Comedies","When a busy mother and father realize they need help with their two young children, they hire a series of maids, often with humorous results.","bibik-bibikku international tv shows, tv comedies busy mother father realize need help two young children, hire series maids, often humorous results."
s900,Big Bad Beetleborgs,"Kids' TV, TV Comedies","When three teens free a spirit that offers to grant each a wish, they choose to become their favorite superheroes, launching a series of adventures.","big bad beetleborgs kids' tv, tv comedies three teen free spirit offer grant wish, choose become favorite superheroes, launching series adventures."
s901,Big Bear,Comedies,The alcohol-fueled high jinks of a bachelor party go haywire when the buddies of an ill-fated groom abduct his fiancée's new lover.,big bear comedies alcohol-fueled high jinks bachelor party go haywire buddy ill-fated groom abduct fiancée's new lover.
s902,Big Daddy,Comedies,"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.","big daddy comedies dumped girlfriend refuse accept responsibility, overgrown adolescent sonny koufax adopts 5-year-old prove he's grownup."
s903,"Big Dreams, Small Spaces","British TV Shows, International TV Shows, Reality TV",Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams.,"big dreams, small spaces british tv shows, international tv shows, reality tv writer presenter monty help england's budding horticulturist plant grow garden dreams."
s904,Big Fat Liar,"Children & Family Movies, Comedies",Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,"big fat liar children family movies, comedies junior high student jason kaylee take action greedy hollywood producer turn jason's essay hit film without giving credit."
s905,Big Kill,Action & Adventure,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.,big kill action adventure tenderfoot two gambler seeking fortune boom town instead find defending gunslinging preacher gang.
s906,Big Miracle,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.","big miracle children family movies, dramas reporter writes whale trapped arctic circle, u.s. u.s.s.r. team rescue tale inspired true events."
s907,Big Mouth,TV Comedies,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,big mouth tv comedies teenage friend find life upended wonder horror puberty edgy comedy real-life pal nick kroll andrew goldberg.
s908,Big Stone Gap,"Comedies, Romantic Movies",A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.,"big stone gap comedies, romantic movies single middle-aged woman lived whole life small virginia mining town uncovers family secret alters profoundly."
s909,Big Time,Documentaries,"In this documentary, architect Bjarke Ingels offers his vision for 2 World Trade Center as he aims to restore Manhattan's skyline to its former glory.","big time documentaries documentary, architect bjarke ingels offer vision 2 world trade center aim restore manhattan's skyline former glory."
s910,Big Time Movie,"Children & Family Movies, Comedies, Music & Musicals","Big Time Rush heads to London for their first world tour, but when the boys' bags are switched, they get mixed up in a mission to save the world.","big time movie children family movies, comedies, music musicals big time rush head london first world tour, boys' bag switched, get mixed mission save world."
s911,Bigflo & Oli: Hip Hop Frenzy,"Documentaries, International Movies, Music & Musicals","Go backstage with French rap duo Bigflo & Oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour.","bigflo oli: hip hop frenzy documentaries, international movies, music musicals go backstage french rap duo bigflo oli intimate music documentary, join superstar sibling embark major tour."
s912,Bigger Fatter Liar,"Children & Family Movies, Comedies","When his video game concept is stolen by a dishonest executive, a teenage chronic liar sets out to prove that he's telling the truth, for once.","bigger fatter liar children family movies, comedies video game concept stolen dishonest executive, teenage chronic liar set prove he's telling truth, once."
s913,Biggie & Tupac,"Documentaries, Music & Musicals","British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process.","biggie tupac documentaries, music musicals british documentarian nick broomfield investigates murder rapper tupac shakur biggie smalls, digging surprise process."
s914,"Bikram: Yogi, Guru, Predator",Documentaries,This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.,"bikram: yogi, guru, predator documentaries documentary chart rise fall hot yoga founder bikram choudhury global empire born disturbing revelation come light."
s915,Bill Burr: I'm Sorry You Feel That Way,Stand-Up Comedy,"Bill Burr escapes the zombie apocalypse, explores how rom-coms ruin great sex and explains how too many childhood hugs may be the downfall of man.","bill burr: i'm sorry feel way stand-up comedy bill burr escape zombie apocalypse, explores rom-coms ruin great sex explains many childhood hug may downfall man."
s916,Bill Burr: Let It Go,Stand-Up Comedy,"The musings of comedian Bill Burr are let loose in this special, which was filmed at the historic Fillmore Auditorium in San Francisco.","bill burr: let go stand-up comedy musing comedian bill burr let loose special, filmed historic fillmore auditorium san francisco."
s917,Bill Burr: Paper Tiger,Stand-Up Comedy,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.","bill burr: paper tiger stand-up comedy bill burr unloads outrage culture, male feminism, cultural appropriation, robot sex blistering stand-up special shot london."
s918,Bill Burr: Walk Your Way Out,Stand-Up Comedy,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.","bill burr: walk way stand-up comedy no-nonsense comic bill burr take stage nashville riff fast food, overpopulation, dictator gorilla sign language."
s919,Bill Burr: You People Are All the Same,Stand-Up Comedy,"Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more.","bill burr: people stand-up comedy funnyman bill burr take stage uncork profanity-laced, incisive routine poke fun plastic surgery, reality tv, gold digger more."
s920,Bill Hicks: One Night Stand,Stand-Up Comedy,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music.","bill hicks: one night stand stand-up comedy bill hicks remembers wild night 1989 offer view puffing cigarettes, smoking weed, drinking, sex, commercial music."
s921,Bill Hicks: Reflections,Documentaries,"This documentary about comedian Bill Hicks offers insight into his irreverent takes on, well, everything. Brother Steve Hicks is the star witness.","bill hicks: reflections documentaries documentary comedian bill hicks offer insight irreverent take on, well, everything. brother steve hicks star witness."
s922,Bill Hicks: Relentless,Stand-Up Comedy,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with.","bill hicks: relentless stand-up comedy one iconic performances, late comedian bill hicks demonstrates made singular talent force reckoned with."
s923,Bill Hicks: Revelations,Stand-Up Comedy,"In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood.","bill hicks: revelations stand-up comedy final recorded special, iconoclastic comedian channel goat boy tackle provocative topic like british porn, pot priesthood."
s924,Bill Hicks: Sane Man,Stand-Up Comedy,"Filmed in 1989 at a turning point in comedian Bill Hicks's career, this rare onstage performance captures him spouting off on a variety of topics.","bill hicks: sane man stand-up comedy filmed 1989 turning point comedian bill hicks's career, rare onstage performance capture spouting variety topics."
s925,Bill Nye Saves the World,Stand-Up Comedy & Talk Shows,Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives.,bill nye saves world stand-up comedy talk shows emmy-winning host bill nye brings expert famous guest lab talk show exploring scientific issue touch lives.
s926,Bill Nye: Science Guy,Documentaries,"The dynamic, bow-tied host behind the young adult science show faces climate-change skeptics as he demonstrates the importance of scientific evidence.","bill nye: science guy documentaries dynamic, bow-tied host behind young adult science show face climate-change skeptic demonstrates importance scientific evidence."
s927,Billu,"Dramas, International Movies","An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized.","billu dramas, international movies indian village abuzz news major movie star coming town – even town barber went school him. day actor's visit approaches, humble barber begin worry recognized."
s928,Billy Elliot,"Dramas, Independent Movies, International Movies","When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.","billy elliot dramas, independent movies, international movies boy trade boxing school ballet lessons, may take newfound talent way top win disapproving father."
s929,Billy Graham: An Extraordinary Journey,"Documentaries, Faith & Spirituality",This documentary recounts the life story of evangelist preacher Billy Graham featuring interviews with family members and former presidents.,"billy graham: extraordinary journey documentaries, faith spirituality documentary recount life story evangelist preacher billy graham featuring interview family member former presidents."
s930,Billy on the Street,"International TV Shows, Reality TV, TV Comedies","Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.","billy street international tv shows, reality tv, tv comedies comedian billy eichner sprint new york celebrity stun pedestrian unapologetic, unfiltered unique pop culture questions."
s931,Bilu Rakkhosh,"Dramas, International Movies","Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check.","bilu rakkhosh dramas, international movies torn demanding corporate career, passion music turbulent family life, man struggle keep inner demon check."
s932,Biohackers,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.,"biohackers international tv shows, tv dramas, tv sci-fi fantasy medical student enters top german university secret mission uncover conspiracy linking family tragedy visionary biology professor."
s933,Bioscope,"Dramas, International Movies, LGBTQ Movies","Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films.","bioscope dramas, international movies, lgbtq movies inspired classic contemporary literature, four renowned marathi director create four individual story anthology short films."
s934,Bir Baba Hindu,"Action & Adventure, Comedies, International Movies",A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.,"bir baba hindu action adventure, comedies, international movies istanbul mobster fall indian yoga instructor whose abduction take wild rescue mission mumbai."
s935,Bird Box,"Dramas, Sci-Fi & Fantasy, Thrillers","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","bird box dramas, sci-fi fantasy, thrillers five year ominous unseen presence drive society suicide, survivor two child make desperate bid reach safety."
s936,Birders,"Documentaries, International Movies",Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,"birders documentaries, international movies bird watcher side u.s.-mexico border share enthusiasm protecting preserving world's beautiful species."
s937,Birdshot,"Dramas, International Movies, Thrillers","A sheltered farm girl inadvertently shoots an endangered Philippine eagle, setting off a police investigation that exposes violence and corruption.","birdshot dramas, international movies, thrillers sheltered farm girl inadvertently shoot endangered philippine eagle, setting police investigation expose violence corruption."
s938,Birthmarked,"Comedies, Independent Movies, International Movies","In an attempt to settle the ""nature vs. nurture"" debate, a scientist couple raises three children to live lives that defy their genetic dispositions.","birthmarked comedies, independent movies, international movies attempt settle ""nature vs. nurture"" debate, scientist couple raise three child live life defy genetic dispositions."
s939,Bitch,"Comedies, Dramas, Independent Movies","Cracking under the demands of children and a philandering, thankless husband, an overworked suburban mother assumes the persona of a ferocious dog.","bitch comedies, dramas, independent movies cracking demand child philandering, thankless husband, overworked suburban mother assumes persona ferocious dog."
s940,Bitcoin Heist,"Action & Adventure, Comedies, International Movies","A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""","bitcoin heist action adventure, comedies, international movies unconventional, efficient interpol special agent go rogue assembles team thief catch shadowy hacker called ""the ghost."""
s941,Bitten,"International TV Shows, TV Dramas, TV Horror","Elena Michaels tries to stray from the pack of werewolves that turned her into a monster, but her efforts are thwarted by a string of grisly murders.","bitten international tv shows, tv dramas, tv horror elena michaels try stray pack werewolf turned monster, effort thwarted string grisly murders."
s942,Bitter Daisies,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.","bitter daisies crime tv shows, international tv shows, tv dramas investigating disappearance teen girl tight-knit galician town, civil guard officer uncovers secret linked loss own."
s943,Bittersweet,"Comedies, Dramas, International Movies","After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.","bittersweet comedies, dramas, international movies 20 year abroad, photographer return birth country egypt get stranded without identification unfamiliar culture."
s944,Bittoo Boss,"Comedies, Dramas, International Movies","When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results.","bittoo boss comedies, dramas, international movies small-town wedding videographer fall love, decides need make money turn shooting sexy video – mixed results."
s945,Black,"Action & Adventure, International Movies","A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.","black action adventure, international movies small-town man take dangerous gangster avenge father, police officer ended life framed deadly crime."
s946,Black '47,"Action & Adventure, Dramas, Independent Movies","When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible.","black '47 action adventure, dramas, independent movies great famine ravage beloved country, battle-hardened irishman desert british empire exacts revenge tyrant responsible."
s947,Black & Privileged: Volume 1,Dramas,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status.","black privileged: volume 1 dramas low-income family move thriving black community chicago, find odds politician maintain status."
s948,Black Butler,"Anime Series, International TV Shows","In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian.","black butler anime series, international tv shows victorian london, 12-year-old business magnate ciel phantomhive thwart danger queen he's watched demon butler, sebastian."
s949,Black Crows,"International TV Shows, TV Dramas","This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recruited mom and child snipers.","black crows international tv shows, tv dramas drama portrays woman kid living islamic state group: yazidi slave, undercover reporter, recruited mom child snipers."
s950,Black Earth Rising,"British TV Shows, International TV Shows, TV Dramas","Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases.","black earth rising british tv shows, international tv shows, tv dramas adopted human right attorney rwandan genocide, legal investigator kate ashby confronts past take war crime cases."
s951,Black Friday,"Dramas, International Movies",This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.,"black friday dramas, international movies docudrama based same-titled book track aftermath 1993 bombing bombay eye journalist covering story."
s952,Black Hawk Down,"Action & Adventure, Dramas","When U.S. forces attempt to capture two underlings of a Somali warlord, their helicopters are shot down and the Americans suffer heavy casualties.","black hawk action adventure, dramas u.s. force attempt capture two underling somali warlord, helicopter shot americans suffer heavy casualties."
s953,Black Heart,"Crime TV Shows, International TV Shows, TV Dramas","Blaming a crooked media mogul for the death of his journalist sister, a surgeon enlists the help of a beautiful psychologist to get revenge.","black heart crime tv shows, international tv shows, tv dramas blaming crooked medium mogul death journalist sister, surgeon enlists help beautiful psychologist get revenge."
s954,Black Ink Crew New York,Reality TV,"At a Black-owned-and-operated hotspot for ink in Harlem, tattoo king Ceaser looks to expand his empire while working with a rambunctious crew.","black ink crew new york reality tv black-owned-and-operated hotspot ink harlem, tattoo king ceaser look expand empire working rambunctious crew."
s955,Black Lightning,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.,"black lightning tv action adventure, tv dramas, tv sci-fi fantasy school principal retired superhero jefferson pierce leap back action legendary black lightning gang threatens family."
s956,Black Man White Skin,"Documentaries, International Movies",This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.,"black man white skin documentaries, international movies film chronicle health social problem african albino face detail fight waged behalf advocacy group spain."
s957,Black Mirror,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.","black mirror british tv shows, international tv shows, tv dramas sci-fi anthology series explores twisted, high-tech near-future humanity's greatest innovation darkest instinct collide."
